min_samples_leaf,MAE,RMSE,RAE,RRSE
1,0.010690272,0.035957339,0.116774392,0.271798793
2,0.011824873,0.03998293,0.129168127,0.302227929
3,0.013740721,0.043476081,0.150095744,0.328632396
4,0.016029138,0.047481066,0.175093098,0.358905774
5,0.018594558,0.052171337,0.203116276,0.394359173
6,0.02009814,0.055173158,0.219540544,0.417049711
7,0.021838097,0.056853151,0.238546828,0.429748647
8,0.023868535,0.060281442,0.260726171,0.455662839
9,0.024301923,0.061686649,0.265460252,0.466284695
10,0.025752306,0.063413208,0.281303401,0.479335624
15,0.030601416,0.069532106,0.334272302,0.525587906
20,0.038121651,0.077278855,0.416419026,0.584144998
25,0.045080749,0.085641448,0.492436219,0.647357203
30,0.047660202,0.089003725,0.520612683,0.672772396
35,0.053069531,0.095156415,0.579701082,0.719280112
40,0.053717921,0.096517576,0.586783729,0.729569026
