K,R-squared,MAE,MSE,RMSE,RAE,RRSE
2,0.8251688844236474,0.01584974497289157,0.002986990827698136,0.05465336977440765,0.17313351356505768,0.41312067157891014
3,0.7866104764392979,0.017328361275903613,0.003662799722287967,0.06052106841660982,0.18928506907543935,0.4574741600041441
4,0.8005272927018312,0.016149379428915665,0.0033737579754013446,0.05808405956371632,0.176406548320212,0.43905299515910734
5,0.802664745061892,0.016299372640481924,0.003361981082813941,0.05798259292937787,0.1780449880410901,0.4382860165758329
10,0.762598608587108,0.018140635397710846,0.004058403855153923,0.06370560301224629,0.1981578851950038,0.4815458151691594
15,0.7547656045835687,0.019191820664899596,0.004217291241609465,0.06494067478560309,0.20964042949003733,0.4908816289087953
20,0.7555208373459977,0.019212926155361444,0.004222877951630662,0.06498367450083646,0.2098709737496089,0.49120666049071304
25,0.7453363882867546,0.019765899729783133,0.004418138168844773,0.06646907678646344,0.21591133957328623,0.5024347035617264
30,0.7374707938406415,0.020208014979598395,0.004572426399592861,0.0676197190144477,0.22074075271098198,0.5111323207797319
35,0.7286060587277368,0.020711307230120483,0.004735249571776364,0.06881314970102999,0.22623842827812754,0.5201533727067921
40,0.720125894672738,0.021383074571686745,0.004889401601953574,0.06992425617733501,0.23357642900574474,0.5285521421803215
45,0.7123778469657995,0.022041725327871485,0.005034815832927883,0.0709564361628167,0.24077115168586255,0.536354312303639
50,0.7064158760698405,0.02278656588462651,0.00514386132782914,0.07172071756354045,0.24890736225942767,0.5421314573698178
