Kernel,C,degree/gamma,R-squared,MAE,MSE,RMSE,RAE,RRSE
linear,0.0001,0.0,0.228292646323899,0.08096811603814917,0.013333513453138473,0.11547083377692599,0.8844492097761885,0.8728352633077398
linear,0.001,0.0,0.5860977145695665,0.052927426077878016,0.007190900483206615,0.08479917737340743,0.5781488128982888,0.6409905418539381
linear,0.01,0.0,0.6973748533771953,0.04349532822042382,0.005245096539608733,0.07242303873498221,0.4751179915731822,0.5474402497683053
linear,0.1,0.0,0.6995230430960266,0.04405375572307681,0.0052016457278193685,0.07212243567586558,0.48121793297735194,0.5451680140731683
linear,1.0,0.0,0.6989789045211758,0.04372913476491944,0.005215545551395988,0.07221873407500293,0.47767196001950524,0.5458959263590494
linear,10.0,0.0,0.6987718372153149,0.04374243300022613,0.00521824145638535,0.07223739652275232,0.4778172223064884,0.5460369943843031
linear,100.0,0.0,0.6992214476332246,0.043671806592179986,0.005211649408903998,0.07219175443846754,0.4770457399768722,0.5456919893353953
poly,0.0001,2.0,-0.024023270738305645,0.09642623890615402,0.01766713243855413,0.13291776569952615,1.0533048683268755,1.0047152967367348
poly,0.0001,3.0,0.037060456393290545,0.0959083650916032,0.016503391714870485,0.12846552734049116,1.0476479121266418,0.9710611650975324
poly,0.0001,4.0,0.09798459113365461,0.09467740055766813,0.015393131840466468,0.12406906077046956,1.0342015623463354,0.9378286081760001
poly,0.001,2.0,0.04616602203556415,0.09511374606258184,0.016351351454996145,0.12787240302346767,1.0389679501035667,0.9665777834288458
poly,0.001,3.0,0.25277424285004724,0.08869651171579257,0.012692212405358502,0.11265971953346281,0.9688697667113263,0.8515862642261065
poly,0.001,4.0,0.14154218742436062,0.0947900497060505,0.014597383668227517,0.12081963279296754,1.035432076963,0.9132664288656671
poly,0.01,2.0,0.21016099185744483,0.09021163176771288,0.013431030662888874,0.11589232357187802,0.9854200682152614,0.8760212726585443
poly,0.01,3.0,0.3326956688902053,0.08016015749875362,0.011247408485873295,0.10605379995961152,0.875623534600992,0.8016526198413164
poly,0.01,4.0,-3.989293401053763,0.1038708998357537,0.08325571299105942,0.28854066089731517,1.1346260697876303,2.1810569430531217
poly,0.1,2.0,0.25604515466903355,0.08675289816035248,0.01261776795979042,0.1123288385045907,0.9476388482049684,0.8490851596569904
poly,0.1,3.0,-0.5060457060492715,0.08011598639078318,0.02527284652626785,0.15897435807786062,0.8751410347794452,1.2016750997063974
poly,0.1,4.0,-165.19566394908108,0.15555017335194593,2.7746617290267337,1.6657315897306906,1.6991407807593906,12.591138585968498
poly,1.0,2.0,0.3131025309375707,0.07895432626676994,0.01167902492335777,0.10806953744398913,0.8624517265803026,0.8168894264043914
poly,1.0,3.0,-2.6693938367187062,0.08378740218958505,0.06128599823194304,0.24756009014367208,0.9152454729323618,1.8712879209175497
poly,1.0,4.0,-387.7009946567415,0.21092477271079657,6.4946116950992705,2.548452804173401,2.3040211094746197,19.26356120936338
poly,10.0,2.0,0.30640864344109686,0.07876206012313636,0.01179437176561684,0.10860189577358602,0.860351521621559,0.8209134825888772
poly,10.0,3.0,-44.86629403644733,0.11571176670034711,0.758647220041498,0.8710035706249992,1.263968900693074,6.583849843650896
poly,10.0,4.0,-1428.2201743138287,0.3459501559686517,23.755204412946586,4.873931104657368,3.7789608680564943,36.84167507871136
poly,100.0,2.0,0.30577408914626797,0.07875887529753488,0.011801707874316354,0.10863566575630838,0.860316732415334,0.8211687473236786
poly,100.0,3.0,-2854.3355111187047,0.342268942940662,47.713495933156814,6.907495633958578,3.738749410597249,52.21323492052299
poly,100.0,4.0,-16004.69091137927,0.8230977234668732,267.1777726291417,16.345573487312755,8.991046929458685,123.55494865722142
rbf,0.0001,0.0001,-0.07257887241865457,0.09677581381399529,0.018534235152594183,0.13614049784173035,1.0571234239031484,1.0290756842554158
rbf,0.0001,0.001,-0.07151213638673708,0.09671804463509484,0.018516896260158937,0.13607680279959158,1.0564923865624272,1.0285942182690873
rbf,0.0001,0.01,-0.06514506079843266,0.09636953636031274,0.018407091999754977,0.13567273860195708,1.0526854822732592,1.025539927685052
rbf,0.0001,0.1,-0.0400033479219961,0.09472439676394659,0.017976673691250826,0.1340771184477457,1.0347149219196996,1.013478756115695
rbf,0.0001,1.0,-0.03535597656797853,0.0940149450341787,0.017901328440192703,0.13379584612458154,1.0269652785727814,1.0113526399855868
rbf,0.0001,10.0,-0.060100347972353994,0.09601050522007176,0.018324801633489044,0.1353691310214003,1.0487636322437788,1.0232449810405215
rbf,0.001,0.0001,-0.071767396939399,0.09673383743936645,0.018520349627434367,0.13608949124540942,1.0566648980884654,1.0286901292674244
rbf,0.001,0.001,-0.06372770087187987,0.0963115146975356,0.01838250063083997,0.13558208078813355,1.0520516869436387,1.0248546521551947
rbf,0.001,0.01,-0.0036774738796955253,0.09301436872868159,0.01734614462498966,0.13170476310669124,1.0160355575168938,0.9955463022566621
rbf,0.001,0.1,0.20045499233940403,0.07811429557340448,0.01386586563763555,0.1177534103015091,0.8532757136101505,0.8900890859111467
rbf,0.001,1.0,0.2042616746187056,0.07410531829167791,0.013841984910136542,0.11765196517753769,0.8094839476369478,0.889322269923103
rbf,0.001,10.0,0.03344425354404722,0.08982038301309865,0.016746085464081885,0.12940666700012748,0.9811462914648992,0.9781751683116685
rbf,0.01,0.0001,-0.0635323167157011,0.0963040316888016,0.01837913788258592,0.13556967906794617,1.051969946852781,1.0247609084941234
rbf,0.01,0.001,0.008276367443572796,0.09256950958194513,0.017138167547692103,0.13091282422930192,1.0111761716247065,0.9895600964247625
rbf,0.01,0.01,0.32851044373866733,0.07306064826115219,0.011623541985392973,0.10781253167138305,0.7980725720463386,0.8149467392870748
rbf,0.01,0.1,0.526126376230761,0.054946069880382364,0.008268739439918802,0.09093260933195968,0.6001993187431248,0.6873526882368528
rbf,0.01,1.0,0.42438750445559437,0.05816181572676277,0.010067366234987447,0.10033626580149098,0.6353262799698396,0.7584342133473003
rbf,0.01,10.0,0.24172258250063275,0.07483522717655514,0.01321555970134856,0.11495894789597094,0.8174570532003045,0.8689659568077966
rbf,0.1,0.0001,0.009266768235533629,0.09255148557934098,0.017121044489466865,0.13084740918133178,1.0109792877691808,0.9890656290449771
rbf,0.1,0.001,0.3452688104203771,0.07333460674607337,0.011324494703959683,0.1064166091545849,0.8010651372356516,0.8043950669932683
rbf,0.1,0.01,0.6457647784532335,0.04719376668331311,0.006161143134260815,0.07849294958313655,0.5155176097928662,0.5933222449017117
rbf,0.1,0.1,0.7027592398243919,0.04818765206575453,0.005132714469621435,0.07164296524866509,0.5263742430470504,0.541543733526426
rbf,0.1,1.0,0.5280738191021384,0.07269999113851798,0.008149549110588964,0.09027485314631624,0.7941329607187922,0.6823807591816119
rbf,0.1,10.0,0.30256767564507103,0.08425365842060771,0.012104618199175497,0.11002098981183316,0.9203385882876322,0.8316403066535996
rbf,1.0,0.0001,0.34842332751199734,0.07328600789077197,0.011269928969576739,0.10615992167280804,0.8005342712445608,0.8024547858121579
rbf,1.0,0.001,0.6543423916187371,0.046929517418580126,0.006011152586204665,0.07753162313665737,0.5126311025501027,0.5860556512988775
rbf,1.0,0.01,0.7511332502514128,0.041313429244203136,0.004304091318104173,0.06560557383412001,0.45128417994762066,0.4959075503220457
rbf,1.0,0.1,0.7734854767032704,0.04234573184485607,0.00383648423821971,0.0619393593623611,0.46256046083536184,0.4681949135536796
rbf,1.0,1.0,0.4947340103047761,0.08262719657876841,0.008653170037081798,0.09302241685250819,0.9025720530002344,0.7031493845782362
rbf,1.0,10.0,0.2157843666824702,0.1002385463256517,0.013500730601172383,0.11619264435054563,1.0949483256479025,0.8782913746172045
rbf,10.0,0.0001,0.6534553518575368,0.046973611251427565,0.0060241551550679695,0.07761543116589618,0.5131127582625753,0.586689149827253
rbf,10.0,0.001,0.727324280682234,0.041219490121982574,0.004743370173601389,0.06887212914961602,0.4502580429139283,0.5205991938795723
rbf,10.0,0.01,0.8206430533377492,0.03763978304756811,0.003055211211189876,0.05527396503951816,0.41115537820941217,0.4178117040579578
rbf,10.0,0.1,0.7718419705285587,0.04315913449811256,0.003863285371681205,0.06215533260856389,0.471445604384504,0.4698274389200505
rbf,10.0,1.0,0.4947340103047761,0.08262719657876841,0.008653170037081798,0.09302241685250819,0.9025720530002344,0.7031493845782362
rbf,10.0,10.0,0.2157843666824702,0.1002385463256517,0.013500730601172383,0.11619264435054563,1.0949483256479025,0.8782913746172045
rbf,100.0,0.0001,0.707274265659209,0.0422085638833956,0.0050794031158531375,0.07126993135855497,0.46106211678270825,0.5387239986804303
rbf,100.0,0.001,0.7481609809341656,0.042062427552506165,0.0043371427440549535,0.0658569870557024,0.4594658074118214,0.49780796377088987
rbf,100.0,0.01,0.809678822747607,0.04062377537552107,0.0032072957388543724,0.05663299161137766,0.44375079706777754,0.428084482705965
rbf,100.0,0.1,0.7805852052457514,0.04282637199531174,0.003718441338584668,0.060979023758868656,0.46781069786763924,0.4609358096577344
rbf,100.0,1.0,0.4947340103047761,0.08262719657876841,0.008653170037081798,0.09302241685250819,0.9025720530002344,0.7031493845782362
rbf,100.0,10.0,0.2157843666824702,0.1002385463256517,0.013500730601172383,0.11619264435054563,1.0949483256479025,0.8782913746172045
