Degree,R-squared,MAE,MSE,RMSE,RAE,RRSE
1,0.6316226389132236,0.028400166322183385,0.002684790268599951,0.05181496182185172,0.6249937206660316,0.6260799297692439
2,-1.218612220621644,0.019717856196706587,0.008744315658522451,0.09351104564981856,0.433924793542899,1.1298935063269089
3,-5.2541051121155646e+23,1457944599.038176,1.7491757016441018e+21,41823147916.484024,32084538137.58378,505348891316.52844
4,-1.1753170462471363e+17,892805.8351647534,393796669019940.56,19844310.746910322,19647703.27123438,239778709.50596914
5,-9.970028794214368e+22,656557432.7793587,3.319182195777494e+20,18218622878.191135,14448657380.685452,220135530955.07455
6,-9.440654919887405e+17,2304575.250638838,3171688730125939.0,56317747.91418722,50716078.35361744,680487072.0565985
7,-7.118165551726513e+16,917292.1968882519,364011615709926.6,19079088.440224983,20186567.098492667,230532532.1243355
8,-9.796573504303411e+17,2017737.9328451776,3333186334332791.5,57733753.856239,44403737.76941122,697596664.9151373
9,-4.779780937391045e+16,706674.2087873734,168098338136383.72,12965274.317822346,15551561.847852921,156659346.044677
