Rpm,spd,force,uts
2000,72,2.5,163.23
1000,60,8,138
1000,60,8,142
800,90,6,135
1200,90,6,148
1200,30,10,198
800,90,10,137
1000,60,8,153
1000,60,8,159
800,60,8,137
800,30,6,130
1000,90,8,145
1200,90,10,191
1200,60,8,190
1200,30,6,193
800,30,10,158
1000,60,10,163
1000,30,8,176
1000,60,6,190
1000,60,8,145
1000,60,8,140
950,36.25,6,120
1250,36.25,6,99.16
950,48.75,6,164.83
1250,48.75,6,102.16
950,36.25,6,138.16
1250,36.25,6,105.33
950,48.75,6,106.16
1250,48.75,6,82.5
800,42.5,6,135.16
1400,42.5,6,77.83
1100,30,6,119.16
1100,55,6,136.8
1100,42.5,6,115.3
1100,42.5,6,103.3
1100,42.5,6,135.3
1100,42.5,6,140.25
1100,42.5,6,130.12
1100,42.5,6,135.8
1100,42.5,6,143.5
1100,42.5,6,129.21
821.6,85.1,5.81,136
1178.3,85.1,5.81,145
821.6,114.8,5.81,152
1178.3,114.8,5.81,162
821.6,85.1,8.18,151
1178.3,85.1,8.18,163
821.6,114.8,8.18,155
1178.3,114.8,8.18,163
700,85.1,5.81,140
1300,85.1,5.81,162
1000,75,5.81,153
1000,125,5.81,171
1000,100,5,165
1000,100,9,178
1000,100,7,192
700,85.1,5.81,140
1300,85.1,5.81,162
1000,45,6,131
1400,45,6,143
1000,105,6,151
1400,105,6,161
1000,45,8,144
1400,45,8,155
1000,105,8,162
1400,105,8,172
1200,40,7,186
1600,40,7,190
1200,80,7,165
1600,80,7,192
1200,40,9,167
1600,40,9,192
1200,80,9,168
1600,80,9,193
1200,40,7,169
1200,40,9,172
1600,40,9,198
1600,80,7,200
924,60,8,164
1875,60,8,207
1400,12.43,8,185
1400,107.56,8,207
1400,60,5.62,185
1400,60,10.37,208
1400,60,8,187
900,40,3,323.09
900,40,5,311.02
900,40,7,308.16
900,50,3,299.01
900,50,5,306.16
900,50,7,289.62
900,60,3,306.99
900,60,5,307.37
900,60,7,352.35
1100,40,3,319.98
1100,40,5,274.56
1100,40,7,336.16
1100,50,3,300.61
1100,50,5,310.92
1100,50,7,345.98
1100,60,3,270.49
1100,60,5,358.43
1100,60,7,326.79
1300,40,3,328.88
1300,40,5,277.41
1300,40,7,288.48
1300,50,3,262.02
1300,50,5,285.52
1300,50,7,298.68
1300,60,3,217.48
1300,60,5,275.42
1300,60,7,299.39
1500,40,3,263.83
1500,40,5,275.89
1500,40,7,287.95
1500,50,3,260.89
1500,50,5,272.94
1500,50,7,285
1500,60,3,257.94
1500,60,5,269.99
1500,60,7,282.06
1700,40,3,248.81
1700,40,5,260.86
1700,40,7,272.92
1700,50,3,245.86
1700,50,5,257.92
1700,50,7,269.98
1700,60,3,242.91
1700,60,5,254.97
1700,60,7,267.03
1000,60,8,138
1000,60,8,142
800,90,6,135
1200,90,6,148
1200,30,10,198
800,90,10,137
1000,60,8,153
1000,60,8,159
800,60,8,137
800,30,6,130
1000,90,8,145
1200,90,10,191
1200,60,8,190
1200,30,6,193
800,30,10,158
1000,60,10,163
1000,30,8,176
1000,60,6,190
1000,60,8,145
1000,60,8,140
