mmpm,mpa
49.40591986,137.5735646
50.7124774,137.6513158
52.01903493,137.6979665
53.32559246,137.9623206
54.63215,137.9934211
55.93870753,138.1800239
57.24526506,138.3355263
58.55182259,138.3666268
59.85838013,138.5998804
61.16493766,138.6776316
62.47149519,138.7242823
63.77805273,139.0041866
65.08461026,139.0197368
66.39116779,139.0352871
67.69772533,139.2996411
69.00428286,139.3618421
70.31084039,139.3618421
71.61739793,139.3929426
72.38945465,139.5328947
48.06509946,137.375
48.54249548,137.5
49.0198915,137.625
49.75768535,137.625
50.1482821,137.625
50.40867993,137.625
51.10307414,137.75
51.32007233,137.875
51.71066908,137.75
52.31826401,138
52.49186257,137.75
52.7522604,137.875
53.01265823,137.875
53.40325497,137.875
53.70705244,138.125
53.88065099,137.875
54.14104882,138
54.31464738,138
54.70524412,138
54.96564195,138
55.09584087,138
55.39963834,138.125
55.61663653,138.125
56.09403255,138.125
56.39783002,138.375
56.78842676,138.25
56.96202532,138.25
57.04882459,138.25
57.30922242,138.25
57.3960217,138.25
57.52622061,138.25
57.960217,138.375
57.56962025,138.25
57.91681736,138.375
58.35081374,138.375
58.65461121,138.375
58.91500904,138.5
59.13200723,138.625
59.39240506,138.375
59.47920434,138.625
59.95660036,138.75
60.26039783,138.625
60.5641953,138.625
60.73779385,138.625
61.30198915,138.625
61.56238698,138.75
61.86618445,138.625
62.12658228,138.75
62.77757685,138.875
63.03797468,138.875
63.38517179,138.875
63.68896926,138.875
64.16636528,139.125
64.079566,138.875
64.55696203,138.875
64.81735986,139
65.2079566,139
65.68535262,139.125
66.07594937,139
66.59674503,139.125
67.03074141,139.125
67.33453888,139.125
67.89873418,139.25
68.33273056,139.25
68.72332731,139.125
69.37432188,139.375
69.72151899,139.375
69.98191682,139.5
70.63291139,139.5
70.89330922,139.5
71.11030741,139.5
71.50090416,139.625
71.71790235,139.625
72.1084991,139.625
